question,answer,category,clean_question,clean_answer,clean_text
I found a student card,✅ Submit the student card to Student Affairs Office or Library Reception so it can be returned to the owner.,found_id,i found a student card,submit the student card to student affairs office or library reception so it can be returned to the owner,i found a student card submit the student card to student affairs office or library reception so it can be returned to the owner
I found a wallet,✅ Wonderful! Please submit the wallet to Security Office or Student Affairs Office. Do not open it or share personal details.,found_wallet,i found a wallet,wonderful please submit the wallet to security office or student affairs office do not open it or share personal details,i found a wallet wonderful please submit the wallet to security office or student affairs office do not open it or share personal details
Someone left a wallet,✅ Please give the wallet to Security Office or Student Affairs Office. They will contact the owner safely.,found_wallet,someone left a wallet,please give the wallet to security office or student affairs office they will contact the owner safely,someone left a wallet please give the wallet to security office or student affairs office they will contact the owner safely
I found a charger,✅ Good find! Submit the charger to Computer Lab In-charge or Security Office and mention where you found it.,found_charger,i found a charger,good find submit the charger to computer lab incharge or security office and mention where you found it,i found a charger good find submit the charger to computer lab incharge or security office and mention where you found it
I found a book,✅ Nice! Submit the book to Library Counter or Student Affairs Office. Mention the place where it was found.,found_book,i found a book,nice submit the book to library counter or student affairs office mention the place where it was found,i found a book nice submit the book to library counter or student affairs office mention the place where it was found
I found keys,✅ Great! Please submit the keys to Security Office or Main Gate Desk. Describe the keychain if needed.,found_keys,i found keys,great please submit the keys to security office or main gate desk describe the keychain if needed,i found keys great please submit the keys to security office or main gate desk describe the keychain if needed
I found a USB,✅ Excellent! Submit the USB/Pendrive to Computer Lab In-charge or Security Office. Do not open or use it.,found_usb,i found a usb,excellent submit the usbpendrive to computer lab incharge or security office do not open or use it,i found a usb excellent submit the usbpendrive to computer lab incharge or security office do not open or use it
Where is lost and found office,📍 Lost & Found help is available at Student Affairs Office and Security Office.,contact,where is lost and found office,lost found help is available at student affairs office and security office,where is lost and found office lost found help is available at student affairs office and security office
Give me contact details,"☎️ Lost & Found Contact - Superior University Gold Campus\nOffice: Student Affairs Office / Security Office\nAddress: 6 KM, Main Raiwind Road, Lahore\nPhone: 042-38102223\nUAN: 042-111-000-078\nEmail: info@superior.edu.pk",contact,give me contact details,lost found contact superior university gold campusnoffice student affairs office security officenaddress 6 km main raiwind road lahorenphone 04238102223nuan 042111000078nemail infosuperioredupk,give me contact details lost found contact superior university gold campusnoffice student affairs office security officenaddress 6 km main raiwind road lahorenphone 04238102223nuan 042111000078nemail infosuperioredupk
What is the phone number,☎️ Phone: 042-38102223\nUAN: 042-111-000-078,contact,what is the phone number,phone 04238102223nuan 042111000078,what is the phone number phone 04238102223nuan 042111000078
What is the email,📧 Email: info@superior.edu.pk,contact,what is the email,email infosuperioredupk,what is the email email infosuperioredupk
Common locations to check,"🏢 Common places to check are Library Reception, Student Affairs Office, Security Office/Main Gate, Computer Labs, Classrooms and Cafeteria/Canteen.",locations,common locations to check,common places to check are library reception student affairs office security officemain gate computer labs classrooms and cafeteriacanteen,common locations to check common places to check are library reception student affairs office security officemain gate computer labs classrooms and cafeteriacanteen
Where should I check first,"🏢 First check the place where you last used the item, then Security Office, Student Affairs Office, Library and Cafeteria.",locations,where should i check first,first check the place where you last used the item then security office student affairs office library and cafeteria,where should i check first first check the place where you last used the item then security office student affairs office library and cafeteria
What items are mostly lost,"Most commonly lost items are ID Card, USB, Keys, Books, Chargers and Wallet.",info,what items are mostly lost,most commonly lost items are id card usb keys books chargers and wallet,what items are mostly lost most commonly lost items are id card usb keys books chargers and wallet
Safety tip for found items,"🔒 Safety Tip: If you find someone's item, submit it to Security or Student Affairs. Do not share personal details publicly.",safety,safety tip for found items,safety tip if you find someones item submit it to security or student affairs do not share personal details publicly,safety tip for found items safety tip if you find someones item submit it to security or student affairs do not share personal details publicly
Thank you,✅ You're welcome! Feel free to ask anything about lost or found items.,thanks,thank you,youre welcome feel free to ask anything about lost or found items,thank you youre welcome feel free to ask anything about lost or found items
Bye,Goodbye! I hope you find your item soon.,thanks,bye,goodbye i hope you find your item soon,bye goodbye i hope you find your item soon
I found something,✅ Thank you for reporting it. Please submit the found item to Security Office or Student Affairs Office.,found_general,i found something,thank you for reporting it please submit the found item to security office or student affairs office,i found something thank you for reporting it please submit the found item to security office or student affairs office
I lost something,"📍 Please check Student Affairs Office, Security Office and the place where you last remember having it.",lost_general,i lost something,please check student affairs office security office and the place where you last remember having it,i lost something please check student affairs office security office and the place where you last remember having it
